SQL_Table_Name;1C_Metadata_Name;Table_Purpose
Reference94.VT2652;Справочник.БольничныйЛистПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2657;Справочник.БольничныйЛистПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference95;Справочник.БонусныеПрограммы;Основная
Reference95.VT2692;Справочник.БонусныеПрограммы.УточненияМаксимальнойОплаты;ТабличнаяЧасть
ReferenceChngR2697;Справочник.БонусныеПрограммы.Изменения;РегистрацияИзменений
Reference96;Справочник.Бригады;Основная
Reference96.VT2698;Справочник.Бригады.Состав;ТабличнаяЧасть
ReferenceChngR2701;Справочник.Бригады.Изменения;РегистрацияИзменений
Reference97;Справочник.Валюты;Основная
Reference97.VT2710;Справочник.Валюты.Представления;ТабличнаяЧасть
ReferenceChngR2714;Справочник.Валюты.Изменения;РегистрацияИзменений
Reference98;Справочник.ВариантыДополнительныхОтчетов;Основная
ReferenceChngR2721;Справочник.ВариантыДополнительныхОтчетов.Изменения;РегистрацияИзменений
Reference99;Справочник.ВариантыОтчетов;Основная
Reference99.VT2744;Справочник.ВариантыОтчетов.Размещение;ТабличнаяЧасть
Reference99.VT2750;Справочник.ВариантыОтчетов.Представления;ТабличнаяЧасть
ReferenceChngR2755;Справочник.ВариантыОтчетов.Изменения;РегистрацияИзменений
Reference100;Справочник.ВариантыРасчетаПотребностей;Основная
ReferenceChngR2759;Справочник.ВариантыРасчетаПотребностей.Изменения;РегистрацияИзменений
Reference101;Справочник.ВедомостьНаВыплатуЗарплатыВБанкПрисоединенныеФайлы;Основная
Reference101.VT2780;Справочник.ВедомостьНаВыплатуЗарплатыВБанкПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference101.VT2792;Справочник.ВедомостьНаВыплатуЗарплатыВБанкПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2797;Справочник.ВедомостьНаВыплатуЗарплатыВБанкПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference102;Справочник.ВедомостьНаВыплатуЗарплатыВКассуПрисоединенныеФайлы;Основная
Reference102.VT2818;Справочник.ВедомостьНаВыплатуЗарплатыВКассуПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference102.VT2830;Справочник.ВедомостьНаВыплатуЗарплатыВКассуПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2835;Справочник.ВедомостьНаВыплатуЗарплатыВКассуПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference103;Справочник.ВедомостьНаВыплатуЗарплатыПрисоединенныеФайлы;Основная
Reference103.VT2856;Справочник.ВедомостьНаВыплатуЗарплатыПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
