SQL_Table_Name;1C_Metadata_Name;Table_Purpose
Reference673;Справочник.УведомлениеОбИзмененииРасчетаПособияПрисоединенныеФайлы;Основная
Reference673.VT16291;Справочник.УведомлениеОбИзмененииРасчетаПособияПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference673.VT16303;Справочник.УведомлениеОбИзмененииРасчетаПособияПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR16308;Справочник.УведомлениеОбИзмененииРасчетаПособияПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference674;Справочник.УведомлениеОПравеНаИмущественныйВычетДляНДФЛПрисоединенныеФайлы;Основная
Reference674.VT16329;Справочник.УведомлениеОПравеНаИмущественныйВычетДляНДФЛПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference674.VT16341;Справочник.УведомлениеОПравеНаИмущественныйВычетДляНДФЛПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR16346;Справочник.УведомлениеОПравеНаИмущественныйВычетДляНДФЛПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference675;Справочник.УведомлениеОПрекращенииОтпускаПоУходуЗаРебенкомПрисоединенныеФайлы;Основная
Reference675.VT16367;Справочник.УведомлениеОПрекращенииОтпускаПоУходуЗаРебенкомПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference675.VT16379;Справочник.УведомлениеОПрекращенииОтпускаПоУходуЗаРебенкомПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR16384;Справочник.УведомлениеОПрекращенииОтпускаПоУходуЗаРебенкомПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference676;Справочник.УведомлениеОСпецрежимахНалогообложенияПрисоединенныеФайлы;Основная
Reference676.VT16406;Справочник.УведомлениеОСпецрежимахНалогообложенияПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference676.VT16418;Справочник.УведомлениеОСпецрежимахНалогообложенияПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR16423;Справочник.УведомлениеОСпецрежимахНалогообложенияПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference677;Справочник.УведомлениеОСтатусеВыплатыПособияПрисоединенныеФайлы;Основная
Reference677.VT16444;Справочник.УведомлениеОСтатусеВыплатыПособияПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference677.VT16456;Справочник.УведомлениеОСтатусеВыплатыПособияПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR16461;Справочник.УведомлениеОСтатусеВыплатыПособияПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference678;Справочник.УвольнениеПрисоединенныеФайлы;Основная
Reference678.VT16482;Справочник.УвольнениеПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference678.VT16494;Справочник.УвольнениеПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR16499;Справочник.УвольнениеПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference679;Справочник.УдалитьБанки;Основная
ReferenceChngR16500;Справочник.УдалитьБанки.Изменения;РегистрацияИзменений
Reference680;Справочник.УдалитьБланкиДоговоров;Основная
Reference680.VT16504;Справочник.УдалитьБланкиДоговоров.РедактируемыеПараметры;ТабличнаяЧасть
Reference680.VT16508;Справочник.УдалитьБланкиДоговоров.ПараметрыИнфобазы;ТабличнаяЧасть
ReferenceChngR16514;Справочник.УдалитьБланкиДоговоров.Изменения;РегистрацияИзменений
Reference681;Справочник.УдалитьВидыАлкогольнойПродукцииЕГАИС;Основная
ReferenceChngR16517;Справочник.УдалитьВидыАлкогольнойПродукцииЕГАИС.Изменения;РегистрацияИзменений
Reference682;Справочник.УдалитьВидыВычетовНДФЛ;Основная
ReferenceChngR16524;Справочник.УдалитьВидыВычетовНДФЛ.Изменения;РегистрацияИзменений
Reference683;Справочник.УдалитьВидыДоходовНДФЛ;Основная
ReferenceChngR16532;Справочник.УдалитьВидыДоходовНДФЛ.Изменения;РегистрацияИзменений
Reference684;Справочник.УдалитьВидыДоходовПоСтраховымВзносам;Основная
ReferenceChngR16539;Справочник.УдалитьВидыДоходовПоСтраховымВзносам.Изменения;РегистрацияИзменений
Reference685;Справочник.УдалитьВидыНалоговыхОрганов;Основная
ReferenceChngR16540;Справочник.УдалитьВидыНалоговыхОрганов.Изменения;РегистрацияИзменений
Reference686;Справочник.УдалитьВидыОбщественноПолезнойДеятельностиСЗВК;Основная
ReferenceChngR16542;Справочник.УдалитьВидыОбщественноПолезнойДеятельностиСЗВК.Изменения;РегистрацияИзменений
Reference687;Справочник.УдалитьВидыОбъектовЕГАИС;Основная
ReferenceChngR16547;Справочник.УдалитьВидыОбъектовЕГАИС.Изменения;РегистрацияИзменений
Reference688;Справочник.УдалитьВидыОтправляемыхДокументов;Основная
ReferenceChngR16553;Справочник.УдалитьВидыОтправляемыхДокументов.Изменения;РегистрацияИзменений
Reference689;Справочник.УдалитьДанныеОбменаШтрихМПЭЙ;Основная
Reference689.VT16562;Справочник.УдалитьДанныеОбменаШтрихМПЭЙ.ЗагруженныеДокументы;ТабличнаяЧасть
ReferenceChngR16565;Справочник.УдалитьДанныеОбменаШтрихМПЭЙ.Изменения;РегистрацияИзменений
Reference690;Справочник.УдалитьДокументыРеализацииПолномочийНалоговыхОрганов;Основная
ReferenceChngR16575;Справочник.УдалитьДокументыРеализацииПолномочийНалоговыхОрганов.Изменения;РегистрацияИзменений
Reference691;Справочник.УдалитьЗарегистрированныеКассы;Основная
ReferenceChngR16583;Справочник.УдалитьЗарегистрированныеКассы.Изменения;РегистрацияИзменений
Reference692;Справочник.УдалитьКлассификаторКатегорийНоменклатуры;Основная
Reference692.VT16585;Справочник.УдалитьКлассификаторКатегорийНоменклатуры.ДополнительныеРеквизиты;ТабличнаяЧасть
Reference692.VT16591;Справочник.УдалитьКлассификаторКатегорийНоменклатуры.ДополнительныеРеквизитыЗначения;ТабличнаяЧасть
ReferenceChngR16597;Справочник.УдалитьКлассификаторКатегорийНоменклатуры.Изменения;РегистрацияИзменений
Reference693;Справочник.УдалитьКомплектыВедомостейНаВыплатуЗарплатыЧерезБанк;Основная
ReferenceChngR16602;Справочник.УдалитьКомплектыВедомостейНаВыплатуЗарплатыЧерезБанк.Изменения;РегистрацияИзменений
Reference694;Справочник.УдалитьМашиночитаемыеДоверенностиКЭДО;Основная
Reference694.VT16620;Справочник.УдалитьМашиночитаемыеДоверенностиКЭДО.Полномочия;ТабличнаяЧасть
ReferenceChngR16623;Справочник.УдалитьМашиночитаемыеДоверенностиКЭДО.Изменения;РегистрацияИзменений
Reference695;Справочник.УдалитьНалоговыеОрганы;Основная
Reference695.VT16637;Справочник.УдалитьНалоговыеОрганы.Сертификаты;ТабличнаяЧасть
ReferenceChngR16640;Справочник.УдалитьНалоговыеОрганы.Изменения;РегистрацияИзменений
Reference696;Справочник.УдалитьОрганизацииДляИнтеграцииБЗКБУНФ;Основная
ReferenceChngR16641;Справочник.УдалитьОрганизацииДляИнтеграцииБЗКБУНФ.Изменения;РегистрацияИзменений
Reference697;Справочник.УдалитьОрганыПФР;Основная
Reference697.VT16642;Справочник.УдалитьОрганыПФР.Сертификаты;ТабличнаяЧасть
ReferenceChngR16645;Справочник.УдалитьОрганыПФР.Изменения;РегистрацияИзменений
Reference698;Справочник.УдалитьОснованияДосрочногоНазначенияПенсии;Основная
ReferenceChngR16647;Справочник.УдалитьОснованияДосрочногоНазначенияПенсии.Изменения;РегистрацияИзменений
Reference699;Справочник.УдалитьОснованияДосрочногоНазначенияПенсииДляСЗВК;Основная
ReferenceChngR16649;Справочник.УдалитьОснованияДосрочногоНазначенияПенсииДляСЗВК.Изменения;РегистрацияИзменений
Reference700;Справочник.УдалитьОснованияИсчисляемогоСтраховогоСтажа;Основная
ReferenceChngR16651;Справочник.УдалитьОснованияИсчисляемогоСтраховогоСтажа.Изменения;РегистрацияИзменений
Reference701;Справочник.УдалитьОснованияУвольнения;Основная
ReferenceChngR16654;Справочник.УдалитьОснованияУвольнения.Изменения;РегистрацияИзменений
Reference702;Справочник.УдалитьОсобыеУсловияТрудаДляСЗВКПФР;Основная
ReferenceChngR16656;Справочник.УдалитьОсобыеУсловияТрудаДляСЗВКПФР.Изменения;РегистрацияИзменений
Reference703;Справочник.УдалитьОсобыеУсловияТрудаПФР;Основная
ReferenceChngR16658;Справочник.УдалитьОсобыеУсловияТрудаПФР.Изменения;РегистрацияИзменений
Reference704;Справочник.УдалитьОтправкиРегистрацияЮЛ;Основная
ReferenceChngR16677;Справочник.УдалитьОтправкиРегистрацияЮЛ.Изменения;РегистрацияИзменений
Reference705;Справочник.УдалитьОтправкиРегистрацияЮЛПрисоединенныеФайлы;Основная
Reference705.VT16705;Справочник.УдалитьОтправкиРегистрацияЮЛПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference705.VT16717;Справочник.УдалитьОтправкиРегистрацияЮЛПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR16722;Справочник.УдалитьОтправкиРегистрацияЮЛПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference706;Справочник.УдалитьОтправкиФСС;Основная
ReferenceChngR16734;Справочник.УдалитьОтправкиФСС.Изменения;РегистрацияИзменений
Reference707;Справочник.УдалитьОчередьЗаданий;Основная
ReferenceChngR16751;Справочник.УдалитьОчередьЗаданий.Изменения;РегистрацияИзменений
Reference708;Справочник.УдалитьПапкиФайловПрисоединенныеУдалитьФайлы;Основная
Reference708.VT16772;Справочник.УдалитьПапкиФайловПрисоединенныеУдалитьФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference708.VT16784;Справочник.УдалитьПапкиФайловПрисоединенныеУдалитьФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR16789;Справочник.УдалитьПапкиФайловПрисоединенныеУдалитьФайлы.Изменения;РегистрацияИзменений
Reference709;Справочник.УдалитьПараметрыИсчисляемогоСтраховогоСтажа;Основная
ReferenceChngR16792;Справочник.УдалитьПараметрыИсчисляемогоСтраховогоСтажа.Изменения;РегистрацияИзменений
Reference710;Справочник.УдалитьПерепискаСКонтролирующимиОрганами;Основная
ReferenceChngR16804;Справочник.УдалитьПерепискаСКонтролирующимиОрганами.Изменения;РегистрацияИзменений
Reference711;Справочник.УдалитьПодписиПисем;Основная
ReferenceChngR16813;Справочник.УдалитьПодписиПисем.Изменения;РегистрацияИзменений
Reference712;Справочник.УдалитьПрофилиНастроекЭДО;Основная
Reference712.VT16846;Справочник.УдалитьПрофилиНастроекЭДО.СертификатыПодписейОрганизации;ТабличнаяЧасть
Reference712.VT16851;Справочник.УдалитьПрофилиНастроекЭДО.ИсходящиеДокументы;ТабличнаяЧасть
ReferenceChngR16863;Справочник.УдалитьПрофилиНастроекЭДО.Изменения;РегистрацияИзменений
Reference713;Справочник.УдалитьРегламентированныеОтчеты;Основная
ReferenceChngR16871;Справочник.УдалитьРегламентированныеОтчеты.Изменения;РегистрацияИзменений
Reference714;Справочник.УдалитьСеансыОбменовДанными;Основная
ReferenceChngR16879;Справочник.УдалитьСеансыОбменовДанными.Изменения;РегистрацияИзменений
Reference715;Справочник.УдалитьСерверыДокументооборота;Основная
ReferenceChngR16885;Справочник.УдалитьСерверыДокументооборота.Изменения;РегистрацияИзменений
Reference716;Справочник.УдалитьСертификатыЭП;Основная
Reference716.VT16904;Справочник.УдалитьСертификатыЭП.ВидыДокументов;ТабличнаяЧасть
Reference716.VT16908;Справочник.УдалитьСертификатыЭП.СоставИсполнителей;ТабличнаяЧасть
ReferenceChngR16911;Справочник.УдалитьСертификатыЭП.Изменения;РегистрацияИзменений
Reference717;Справочник.УдалитьСоглашенияОбИспользованииЭД;Основная
Reference717.VT16970;Справочник.УдалитьСоглашенияОбИспользованииЭД.ИсходящиеДокументы;ТабличнаяЧасть
Reference717.VT16988;Справочник.УдалитьСоглашенияОбИспользованииЭД.СертификатыПодписейКонтрагента;ТабличнаяЧасть
Reference717.VT16993;Справочник.УдалитьСоглашенияОбИспользованииЭД.СертификатыПодписейОрганизации;ТабличнаяЧасть
Reference717.VT16997;Справочник.УдалитьСоглашенияОбИспользованииЭД.ВходящиеДокументы;ТабличнаяЧасть
Reference717.VT17005;Справочник.УдалитьСоглашенияОбИспользованииЭД.УдалитьФорматыФайловОбмена;ТабличнаяЧасть
ReferenceChngR17009;Справочник.УдалитьСоглашенияОбИспользованииЭД.Изменения;РегистрацияИзменений
Reference718;Справочник.УдалитьСотрудникиДляИнтеграцииБЗКБУНФ;Основная
ReferenceChngR17010;Справочник.УдалитьСотрудникиДляИнтеграцииБЗКБУНФ.Изменения;РегистрацияИзменений
Reference719;Справочник.УдалитьСтарыеДанныеОбменаШтрихМПЭЙ;Основная
ReferenceChngR17019;Справочник.УдалитьСтарыеДанныеОбменаШтрихМПЭЙ.Изменения;РегистрацияИзменений
Reference720;Справочник.УдалитьТерриториальныеУсловияПФР;Основная
ReferenceChngR17021;Справочник.УдалитьТерриториальныеУсловияПФР.Изменения;РегистрацияИзменений
Reference721;Справочник.УдалитьУчетныеЗаписиДокументооборота;Основная
ReferenceChngR17062;Справочник.УдалитьУчетныеЗаписиДокументооборота.Изменения;РегистрацияИзменений
Reference722;Справочник.УдалитьШаблоныЭтикетокСУЗ;Основная
ReferenceChngR17066;Справочник.УдалитьШаблоныЭтикетокСУЗ.Изменения;РегистрацияИзменений
Reference723;Справочник.УдалитьЭлектронныеПредставленияРегламентированныхОтчетов;Основная
ReferenceChngR17080;Справочник.УдалитьЭлектронныеПредставленияРегламентированныхОтчетов.Изменения;РегистрацияИзменений
Reference724;Справочник.УниверсальныеРабочиеМестаКассиров;Основная
Reference724.VT17083;Справочник.УниверсальныеРабочиеМестаКассиров.КассыККМ;ТабличнаяЧасть
Reference724.VT17086;Справочник.УниверсальныеРабочиеМестаКассиров.РаспределениеНоменклатуры;ТабличнаяЧасть
ReferenceChngR17094;Справочник.УниверсальныеРабочиеМестаКассиров.Изменения;РегистрацияИзменений
Reference725;Справочник.УпаковкиВЕТИС;Основная
ReferenceChngR17097;Справочник.УпаковкиВЕТИС.Изменения;РегистрацияИзменений
Reference726;Справочник.УсловияНачисленияПремийПоЛичнымПродажам;Основная
ReferenceChngR17101;Справочник.УсловияНачисленияПремийПоЛичнымПродажам.Изменения;РегистрацияИзменений
Reference727;Справочник.УсловияПредоставленияСкидокНаценок;Основная
Reference727.VT17125;Справочник.УсловияПредоставленияСкидокНаценок.КомплектПокупки;ТабличнаяЧасть
Reference727.VT17131;Справочник.УсловияПредоставленияСкидокНаценок.ОтборПродажПоНоменклатуре;ТабличнаяЧасть
Reference727.VT17135;Справочник.УсловияПредоставленияСкидокНаценок.ОтборПродажПоСегменту;ТабличнаяЧасть
ReferenceChngR17138;Справочник.УсловияПредоставленияСкидокНаценок.Изменения;РегистрацияИзменений
Reference728;Справочник.УсловияРегионализацииВЕТИС;Основная
Reference728.VT17142;Справочник.УсловияРегионализацииВЕТИС.Заболевания;ТабличнаяЧасть
ReferenceChngR17145;Справочник.УсловияРегионализацииВЕТИС.Изменения;РегистрацияИзменений
Reference729;Справочник.УслугиСервиса;Основная
ReferenceChngR17151;Справочник.УслугиСервиса.Изменения;РегистрацияИзменений
Reference730;Справочник.УчетВремениПрисоединенныеФайлы;Основная
Reference730.VT17172;Справочник.УчетВремениПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference730.VT17184;Справочник.УчетВремениПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR17189;Справочник.УчетВремениПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference731;Справочник.УчетныеЗаписиDSS;Основная
ReferenceChngR17198;Справочник.УчетныеЗаписиDSS.Изменения;РегистрацияИзменений
Reference732;Справочник.УчетныеЗаписиВнешнихКалендарей;Основная
ReferenceChngR17205;Справочник.УчетныеЗаписиВнешнихКалендарей.Изменения;РегистрацияИзменений
ReferenceChngR17288;Справочник.УчетныеЗаписиДокументооборота.Изменения;РегистрацияИзменений
Reference734;Справочник.УчетныеЗаписиМаркетплейсов;Основная
Reference734.VT17309;Справочник.УчетныеЗаписиМаркетплейсов.ВидыЦен;ТабличнаяЧасть
Reference734.VT17313;Справочник.УчетныеЗаписиМаркетплейсов.СостояниеНастроек;ТабличнаяЧасть
Reference734.VT17317;Справочник.УчетныеЗаписиМаркетплейсов.ЗаказыСостоянияСопоставление;ТабличнаяЧасть
ReferenceChngR17322;Справочник.УчетныеЗаписиМаркетплейсов.Изменения;РегистрацияИзменений
Reference735;Справочник.УчетныеЗаписиОблачногоЭДО;Основная
ReferenceChngR17325;Справочник.УчетныеЗаписиОблачногоЭДО.Изменения;РегистрацияИзменений
Reference736;Справочник.УчетныеЗаписиСинхронизацииФайлов;Основная
ReferenceChngR17329;Справочник.УчетныеЗаписиСинхронизацииФайлов.Изменения;РегистрацияИзменений
Reference737;Справочник.УчетныеЗаписиЭлектроннойПочты;Основная
ReferenceChngR17355;Справочник.УчетныеЗаписиЭлектроннойПочты.Изменения;РегистрацияИзменений
Reference738;Справочник.Файлы;Основная
Reference738.VT17382;Справочник.Файлы.ДополнительныеРеквизиты;ТабличнаяЧасть
Reference738.VT17387;Справочник.Файлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR17392;Справочник.Файлы.Изменения;РегистрацияИзменений
Reference739;Справочник.ФизическиеЛица;Основная
Reference739.VT17417;Справочник.ФизическиеЛица.КонтактнаяИнформация;ТабличнаяЧасть
Reference739.VT17432;Справочник.ФизическиеЛица.ДополнительныеРеквизиты;ТабличнаяЧасть
ReferenceChngR17437;Справочник.ФизическиеЛица.Изменения;РегистрацияИзменений
Reference740;Справочник.ФизическиеЛицаПрисоединенныеФайлы;Основная
Reference740.VT17459;Справочник.ФизическиеЛицаПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference740.VT17471;Справочник.ФизическиеЛицаПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR17476;Справочник.ФизическиеЛицаПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference741;Справочник.ХарактеристикиКТРУ;Основная
ReferenceChngR17483;Справочник.ХарактеристикиКТРУ.Изменения;РегистрацияИзменений
Reference742;Справочник.ХарактеристикиНоменклатуры;Основная
Reference742.VT17489;Справочник.ХарактеристикиНоменклатуры.ДополнительныеРеквизиты;ТабличнаяЧасть
ReferenceChngR17494;Справочник.ХарактеристикиНоменклатуры.Изменения;РегистрацияИзменений
Reference743;Справочник.ХарактеристикиНоменклатурыПрисоединенныеФайлы;Основная
Reference743.VT17515;Справочник.ХарактеристикиНоменклатурыПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference743.VT17527;Справочник.ХарактеристикиНоменклатурыПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR17532;Справочник.ХарактеристикиНоменклатурыПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference744;Справочник.ХозяйственныеОперации;Основная
ReferenceChngR17534;Справочник.ХозяйственныеОперации.Изменения;РегистрацияИзменений
Reference745;Справочник.ХозяйствующиеСубъектыВЕТИС;Основная
Reference745.VT17550;Справочник.ХозяйствующиеСубъектыВЕТИС.Предприятия;ТабличнаяЧасть
ReferenceChngR17557;Справочник.ХозяйствующиеСубъектыВЕТИС.Изменения;РегистрацияИзменений
Reference746;Справочник.ХранилищеДвоичныхДанных;Основная
ReferenceChngR17561;Справочник.ХранилищеДвоичныхДанных.Изменения;РегистрацияИзменений
Reference747;Справочник.ХранилищеШаблонов;Основная
Reference747.VT17574;Справочник.ХранилищеШаблонов.Условия;ТабличнаяЧасть
ReferenceChngR17580;Справочник.ХранилищеШаблонов.Изменения;РегистрацияИзменений
Reference748;Справочник.ХранилищеШаблоновРМК;Основная
Reference748.VT17583;Справочник.ХранилищеШаблоновРМК.Условия;ТабличнаяЧасть
ReferenceChngR17589;Справочник.ХранилищеШаблоновРМК.Изменения;РегистрацияИзменений
Reference749;Справочник.ХранимыеДанныеЭПД;Основная
Reference749.VT17596;Справочник.ХранимыеДанныеЭПД.Данные;ТабличнаяЧасть
ReferenceChngR17603;Справочник.ХранимыеДанныеЭПД.Изменения;РегистрацияИзменений
Reference750;Справочник.ЦелиВЕТИС;Основная
ReferenceChngR17609;Справочник.ЦелиВЕТИС.Изменения;РегистрацияИзменений
Reference751;Справочник.ЦеновыеГруппы;Основная
ReferenceChngR17612;Справочник.ЦеновыеГруппы.Изменения;РегистрацияИзменений
Reference752;Справочник.ЦиклыОбмена;Основная
Reference752.VT17634;Справочник.ЦиклыОбмена.ДополнительныеПредметы;ТабличнаяЧасть
ReferenceChngR17637;Справочник.ЦиклыОбмена.Изменения;РегистрацияИзменений
Reference753;Справочник.ШаблоныГенерацииПромокодов;Основная
Reference753.VT17643;Справочник.ШаблоныГенерацииПромокодов.СловарьСимволов;ТабличнаяЧасть
ReferenceChngR17646;Справочник.ШаблоныГенерацииПромокодов.Изменения;РегистрацияИзменений
Reference754;Справочник.ШаблоныГенерацииШтрихкодов;Основная
Reference754.VT17647;Справочник.ШаблоныГенерацииШтрихкодов.ТаблицаНастройкиШаблонов;ТабличнаяЧасть
ReferenceChngR17653;Справочник.ШаблоныГенерацииШтрихкодов.Изменения;РегистрацияИзменений
Reference755;Справочник.ШаблоныДисконтныхКарт;Основная
ReferenceChngR17662;Справочник.ШаблоныДисконтныхКарт.Изменения;РегистрацияИзменений
ReferenceChngR17680;Справочник.ШаблоныДокументов.Изменения;РегистрацияИзменений
Reference757;Справочник.ШаблоныДокументовУНФ;Основная
Reference757.VT17684;Справочник.ШаблоныДокументовУНФ.ЗначенияРеквизитов;ТабличнаяЧасть
ReferenceChngR17689;Справочник.ШаблоныДокументовУНФ.Изменения;РегистрацияИзменений
Reference758;Справочник.ШаблоныЗаданийОчереди;Основная
ReferenceChngR17697;Справочник.ШаблоныЗаданийОчереди.Изменения;РегистрацияИзменений
Reference759;Справочник.ШаблоныЗаполненияГрафиковРабочегоВремени;Основная
Reference759.VT17708;Справочник.ШаблоныЗаполненияГрафиковРабочегоВремени.РасписаниеРаботы;ТабличнаяЧасть
Reference759.VT17717;Справочник.ШаблоныЗаполненияГрафиковРабочегоВремени.Периоды;ТабличнаяЧасть
Reference759.VT17724;Справочник.ШаблоныЗаполненияГрафиковРабочегоВремени.Перерывы;ТабличнаяЧасть
Reference759.VT17730;Справочник.ШаблоныЗаполненияГрафиковРабочегоВремени.ДополнительныеНастройкиЗаполнения;ТабличнаяЧасть
Reference759.VT17737;Справочник.ШаблоныЗаполненияГрафиковРабочегоВремени.ПериодыДополнительныхНастроекЗаполнения;ТабличнаяЧасть
Reference759.VT17744;Справочник.ШаблоныЗаполненияГрафиковРабочегоВремени.ПерерывыДополнительныхНастроекЗаполнения;ТабличнаяЧасть
ReferenceChngR17750;Справочник.ШаблоныЗаполненияГрафиковРабочегоВремени.Изменения;РегистрацияИзменений
Reference760;Справочник.ШаблоныКалькуляций;Основная
Reference760.VT17751;Справочник.ШаблоныКалькуляций.Запасы;ТабличнаяЧасть
Reference760.VT17759;Справочник.ШаблоныКалькуляций.Расходы;ТабличнаяЧасть
ReferenceChngR17766;Справочник.ШаблоныКалькуляций.Изменения;РегистрацияИзменений
Reference761;Справочник.ШаблоныМагнитныхКарт;Основная
Reference761.VT17782;Справочник.ШаблоныМагнитныхКарт.ПоляДорожки1;ТабличнаяЧасть
Reference761.VT17788;Справочник.ШаблоныМагнитныхКарт.ПоляДорожки2;ТабличнаяЧасть
Reference761.VT17794;Справочник.ШаблоныМагнитныхКарт.ПоляДорожки3;ТабличнаяЧасть
ReferenceChngR17800;Справочник.ШаблоныМагнитныхКарт.Изменения;РегистрацияИзменений
Reference762;Справочник.ШаблоныНаименований;Основная
ReferenceChngR17810;Справочник.ШаблоныНаименований.Изменения;РегистрацияИзменений
Reference763;Справочник.ШаблоныНомеровСерий;Основная
ReferenceChngR17811;Справочник.ШаблоныНомеровСерий.Изменения;РегистрацияИзменений
Reference764;Справочник.ШаблоныПечатиОфисныхДокументов;Основная
Reference764.VT17819;Справочник.ШаблоныПечатиОфисныхДокументов.СвойстваПараметровШаблона;ТабличнаяЧасть
ReferenceChngR17823;Справочник.ШаблоныПечатиОфисныхДокументов.Изменения;РегистрацияИзменений
Reference765;Справочник.ШаблоныПечатиОфисныхДокументовПрисоединенныеФайлы;Основная
Reference765.VT17844;Справочник.ШаблоныПечатиОфисныхДокументовПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference765.VT17856;Справочник.ШаблоныПечатиОфисныхДокументовПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR17861;Справочник.ШаблоныПечатиОфисныхДокументовПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference766;Справочник.ШаблоныПоясненийДляФНС;Основная
ReferenceChngR17865;Справочник.ШаблоныПоясненийДляФНС.Изменения;РегистрацияИзменений
Reference767;Справочник.ШаблоныСообщений;Основная
Reference767.VT17889;Справочник.ШаблоныСообщений.ПечатныеФормыИВложения;ТабличнаяЧасть
Reference767.VT17893;Справочник.ШаблоныСообщений.Параметры;ТабличнаяЧасть
ReferenceChngR17898;Справочник.ШаблоныСообщений.Изменения;РегистрацияИзменений
Reference768;Справочник.ШаблоныСообщенийПрисоединенныеФайлы;Основная
Reference768.VT17920;Справочник.ШаблоныСообщенийПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference768.VT17932;Справочник.ШаблоныСообщенийПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR17937;Справочник.ШаблоныСообщенийПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference769;Справочник.ШаблоныЭтикетокИЦенников;Основная
ReferenceChngR17941;Справочник.ШаблоныЭтикетокИЦенников.Изменения;РегистрацияИзменений
Reference770;Справочник.ШаблоныЭтикетокИЦенниковБПО;Основная
Reference770.VT17946;Справочник.ШаблоныЭтикетокИЦенниковБПО.Поля;ТабличнаяЧасть
ReferenceChngR17955;Справочник.ШаблоныЭтикетокИЦенниковБПО.Изменения;РегистрацияИзменений
Reference771;Справочник.ШтатноеРасписание;Основная
ReferenceChngR17958;Справочник.ШтатноеРасписание.Изменения;РегистрацияИзменений
ReferenceChngR17987;Справочник.ШтрихкодыУпаковокТоваров.Изменения;РегистрацияИзменений
Reference773;Справочник.ЭкземплярыСервераDSS;Основная
Reference773.VT18005;Справочник.ЭкземплярыСервераDSS.ОграничениеАвторизации;ТабличнаяЧасть
ReferenceChngR18008;Справочник.ЭкземплярыСервераDSS.Изменения;РегистрацияИзменений
Reference774;Справочник.ЭлектронныеПредставленияРегламентированныхОтчетов;Основная
ReferenceChngR18022;Справочник.ЭлектронныеПредставленияРегламентированныхОтчетов.Изменения;РегистрацияИзменений
Reference775;Справочник.ЭлектронныйДокументВходящийЭДОПрисоединенныеФайлы;Основная
Reference775.VT18043;Справочник.ЭлектронныйДокументВходящийЭДОПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference775.VT18053;Справочник.ЭлектронныйДокументВходящийЭДОПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
